season,celebrity_name,week,total_judge_score,num_judges,results,parsed_elim_week,last_active_week,true_elimination_week,is_eliminated,judge_percentage,score_rate,week_rank,celebrity_industry,celebrity_age_during_season,celebrity_homestate,celebrity_homecountry/region,ballroom_partner,placement,final_est_share,std_dev,ci_width_95,base_popularity,perf_share,vote_cv,vote_count_est
1,Kelly Monaco,2,17.0,3,1st Place,999,6,999,0,0.140495867768595,0.5666666666666667,5.0,Actor/Actress,29,Pennsylvania,United States,Alec Mazo,1,0.3054743527496807,0.0653500398814728,0.2567922664889612,0.3466050192813653,0.140495867768595,0.21392971060658414,4276641
1,Evander Holyfield,2,14.0,3,Eliminated Week 3,3,3,3,0,0.1157024793388429,0.4666666666666667,6.0,Athlete,42,Alabama,United States,Edyta Sliwinska,5,0.1146383103564657,0.0406123297316466,0.1570461829188673,0.0955236264448548,0.1157024793388429,0.354264901544373,1604936
1,Rachel Hunter,3,26.0,3,Eliminated Week 4,4,4,4,0,0.2452830188679245,0.8666666666666667,1.0,Model,35,,New Zealand,Jonathan Roberts,4,0.0697243065984178,0.0357812153216888,0.137636430437255,0.0256797277459868,0.2452830188679245,0.5131813719966166,976140
1,John O'Hurley,3,24.0,3,2nd Place,999,6,999,0,0.2264150943396226,0.8,2.0,Actor/Actress,50,Maine,United States,Charlotte Jorgensen,2,0.2848678178308262,0.0633116540000902,0.2473106702843172,0.2995846239343031,0.2264150943396226,0.2222492329326191,3988149
1,Joey McIntyre,3,22.0,3,3rd Place,999,5,999,0,0.2075471698113207,0.7333333333333333,3.0,Singer/Rapper,32,Massachusetts,United States,Ashly DelGrosso,3,0.2274836150194967,0.0583391888250509,0.2255839047360253,0.2325678561183526,0.2075471698113207,0.2564544651712647,3184771
1,Kelly Monaco,3,21.0,3,1st Place,999,6,999,0,0.1981132075471698,0.7,4.0,Actor/Actress,29,Pennsylvania,United States,Alec Mazo,1,0.3185278254680573,0.0652743197430392,0.2534220240817267,0.3466357080071489,0.1981132075471698,0.20492501603940738,4459390
1,Evander Holyfield,3,13.0,3,Eliminated Week 3,3,3,3,1,0.1226415094339622,0.4333333333333333,5.0,Athlete,42,Alabama,United States,Edyta Sliwinska,5,0.0993964350831971,0.039904113569803,0.1550752932889601,0.0955320841942086,0.1226415094339622,0.4014642329616987,1391550
1,Kelly Monaco,4,26.0,3,1st Place,999,6,999,0,0.2826086956521739,0.8666666666666667,1.0,Actor/Actress,29,Pennsylvania,United States,Alec Mazo,1,0.3429537431738622,0.0745935100243206,0.2781755763884106,0.3832482080896487,0.2826086956521739,0.21750312253190668,4801352
1,Rachel Hunter,4,25.0,3,Eliminated Week 4,4,4,4,1,0.2717391304347826,0.8333333333333334,2.0,Model,35,,New Zealand,Jonathan Roberts,4,0.0762922496170338,0.0356492540839383,0.137065654790545,0.0283920825683559,0.2717391304347826,0.4672722886385942,1068091
1,John O'Hurley,4,21.0,3,2nd Place,999,6,999,0,0.2282608695652173,0.7,3.0,Actor/Actress,50,Maine,United States,Charlotte Jorgensen,2,0.2702424787017572,0.0612293189742707,0.2435190809707959,0.3312274749595765,0.2282608695652173,0.22657177830967165,3783395
1,Joey McIntyre,4,20.0,3,3rd Place,999,5,999,0,0.217391304347826,0.6666666666666666,4.0,Singer/Rapper,32,Massachusetts,United States,Ashly DelGrosso,3,0.3105115285073497,0.0444431028728309,0.1800560797546239,0.2571322343824188,0.217391304347826,0.14312867250524308,4347161
1,John O'Hurley,5,27.0,3,2nd Place,999,6,999,0,0.3698630136986301,0.9,1.0,Actor/Actress,50,Maine,United States,Charlotte Jorgensen,2,,,,,,,
1,Kelly Monaco,5,23.5,3,1st Place,999,6,999,0,0.3219178082191781,0.7833333333333333,2.0,Actor/Actress,29,Pennsylvania,United States,Alec Mazo,1,,,,,,,
1,Joey McIntyre,5,22.5,3,3rd Place,999,5,999,0,0.3082191780821918,0.75,3.0,Singer/Rapper,32,Massachusetts,United States,Ashly DelGrosso,3,,,,,,,
1,Kelly Monaco,6,27.5,3,1st Place,999,6,999,0,0.5045871559633027,0.9166666666666666,1.0,Actor/Actress,29,Pennsylvania,United States,Alec Mazo,1,0.5293715224043042,0.0696587464923035,0.2731203107246566,0.5364048310980013,0.5045871559633027,0.13158763466520979,7411201
1,John O'Hurley,6,27.0,3,2nd Place,999,6,999,0,0.4954128440366973,0.9,2.0,Actor/Actress,50,Maine,United States,Charlotte Jorgensen,2,0.4706284775956962,0.0696587464923035,0.2731203107246568,0.4635951689019987,0.4954128440366973,0.14801217905080827,6588799
2,Drew Lachey,1,24.0,3,1st Place,999,8,999,0,0.123076923076923,0.8,1.0,Singer/Rapper,29,Ohio,United States,Cheryl Burke,1,0.2146291576493046,0.0573658671724327,0.2242403962839698,0.2380190347083467,0.123076923076923,0.267279002539656,3004808
2,Giselle Fernandez,1,23.0,3,Eliminated Week 3,3,3,3,0,0.1179487179487179,0.7666666666666667,2.0,News Anchor,44,,Mexico,Jonathan Roberts,8,0.0248733157910232,0.0218705817575127,0.0816156364677842,0.0016158457248881,0.1179487179487179,0.8792789003790886,348226
2,Tatum O'Neal,1,23.0,3,Eliminated Week 2,2,2,2,0,0.1179487179487179,0.7666666666666667,2.0,Actor/Actress,42,California,United States,Nick Kosovich,9,0.0245759086691966,0.0218442149886738,0.0797442401126113,0.0007957371153266,0.1179487179487179,0.8888466865135001,344063
2,Stacy Keibler,1,22.0,3,3rd Place,999,8,999,0,0.1128205128205128,0.7333333333333333,4.0,Athlete,26,Maryland,United States,Tony Dovolani,3,0.1500639370144461,0.0501826081479492,0.193972660837155,0.1591023035988701,0.1128205128205128,0.33440818058184296,2100895
2,Jerry Rice,1,21.0,3,2nd Place,999,8,999,0,0.1076923076923077,0.7,5.0,Athlete,43,Mississippi,United States,Anna Trebunskaya,2,0.2845233967649919,0.0628819481670955,0.2453622769969181,0.3283157044269648,0.1076923076923077,0.22100800455097255,3983328
2,Tia Carrere,1,20.0,3,Eliminated Week 5,5,5,5,0,0.1025641025641025,0.6666666666666666,6.0,Actor/Actress,39,Hawaii,United States,Maksim Chmerkoskiy,6,0.0402033134839683,0.0270535296705006,0.1025483895020932,0.0242138953567337,0.1025641025641025,0.6729179096466419,562846
2,Lisa Rinna,1,19.0,3,Eliminated Week 7,7,7,7,0,0.0974358974358974,0.6333333333333333,7.0,Actor/Actress,42,California,United States,Louis van Amstel,4,0.0882276296854374,0.0395734993243676,0.1522390076088873,0.0858501085719889,0.0974358974358974,0.4485386206731505,1235187
2,George Hamilton,1,18.0,3,Eliminated Week 6,6,6,6,0,0.0923076923076923,0.6,8.0,Actor/Actress,66,Tennessee,United States,Edyta Sliwinska,5,0.0873523970647282,0.0393343717449718,0.1510810627467822,0.0852330717300252,0.0923076923076923,0.4502952759936857,1222934
2,Kenny Mayne,1,13.0,3,Eliminated Week 1,1,1,1,1,0.0666666666666666,0.4333333333333333,9.0,Sports Broadcaster,46,Washington,United States,Andrea Hale,10,0.0105690684148836,0.0113722497692392,0.0412470314904532,9.172837586863284e-05,0.0666666666666666,1.0759935807799805,147967
2,Master P,1,12.0,3,Eliminated Week 4,4,4,4,0,0.0615384615384615,0.4,10.0,Singer/Rapper,35,Louisiana,United States,Ashly DelGrosso,7,0.0749818754620191,0.0360898092135952,0.139633688547351,0.076762570390987,0.0615384615384615,0.4813137707108423,1049746
2,Stacy Keibler,2,29.0,3,3rd Place,999,8,999,0,0.145,0.9666666666666668,1.0,Athlete,26,Maryland,United States,Tony Dovolani,3,0.1561722580991696,0.0507851115295239,0.1952943877136492,0.1591168991336009,0.145,0.32518650974025926,2186412
2,Drew Lachey,2,27.0,3,1st Place,999,8,999,0,0.135,0.9,2.0,Singer/Rapper,29,Ohio,United States,Cheryl Burke,1,0.217949678425559,0.057505605299409,0.2238578631864404,0.2380408698107248,0.135,0.2638480850938723,3051295
2,Giselle Fernandez,2,24.0,3,Eliminated Week 3,3,3,3,0,0.12,0.8,3.0,News Anchor,44,,Mexico,Jonathan Roberts,8,0.0254631576328895,0.0220974337719577,0.082785834100466,0.0016159939573892,0.12,0.8678198552804597,356484
2,Jerry Rice,2,23.0,3,2nd Place,999,8,999,0,0.115,0.7666666666666667,4.0,Athlete,43,Mississippi,United States,Anna Trebunskaya,2,0.2846324526940833,0.0628330214022443,0.2444219601656811,0.328345823056037,0.115,0.22075143156559116,3984854
2,George Hamilton,2,22.0,3,Eliminated Week 6,6,6,6,0,0.11,0.7333333333333333,5.0,Actor/Actress,66,Tennessee,United States,Edyta Sliwinska,5,0.0903878821324661,0.0402480303918941,0.1555699610094181,0.0852408907384902,0.11,0.4452812638414232,1265430
2,Tia Carrere,2,22.0,3,Eliminated Week 5,5,5,5,0,0.11,0.7333333333333333,5.0,Actor/Actress,39,Hawaii,United States,Maksim Chmerkoskiy,6,0.0415632757088876,0.0279811129560667,0.105676006570607,0.0242161166617849,0.11,0.6732172207034061,581886
2,Lisa Rinna,2,20.0,3,Eliminated Week 7,7,7,7,0,0.1,0.6666666666666666,7.0,Actor/Actress,42,California,United States,Louis van Amstel,4,0.0902554524970166,0.0397714317831736,0.1527972019654693,0.0858579841854336,0.1,0.4406540622516767,1263576
2,Tatum O'Neal,2,17.0,3,Eliminated Week 2,2,2,2,1,0.085,0.5666666666666667,8.0,Actor/Actress,42,California,United States,Nick Kosovich,9,0.0141809032384362,0.0131227593896061,0.0477003907262253,0.0007958101136958,0.085,0.92538247874352,198533
2,Master P,2,16.0,3,Eliminated Week 4,4,4,4,0,0.08,0.5333333333333333,9.0,Singer/Rapper,35,Louisiana,United States,Ashly DelGrosso,7,0.0793949395714921,0.0366738630937017,0.1393766172102119,0.0767696123428433,0.08,0.46191688401851216,1111529
2,Drew Lachey,3,27.0,3,1st Place,999,8,999,0,0.1483516483516483,0.9,1.0,Singer/Rapper,29,Ohio,United States,Cheryl Burke,1,0.2202090605137918,0.0581674512109909,0.2262840407089749,0.2382304560170135,0.1483516483516483,0.2641464936786643,3082927
2,Stacy Keibler,3,27.0,3,3rd Place,999,8,999,0,0.1483516483516483,0.9,1.0,Athlete,26,Maryland,United States,Tony Dovolani,3,0.1541999754112142,0.0537461914184626,0.2058715162803585,0.1592436268223677,0.1483516483516483,0.34854863805998965,2158800
2,Tia Carrere,3,26.0,3,Eliminated Week 5,5,5,5,0,0.1428571428571428,0.8666666666666667,3.0,Actor/Actress,39,Hawaii,United States,Maksim Chmerkoskiy,6,0.0428645529804403,0.0233101889111503,0.0899831826055619,0.0242354034409527,0.1428571428571428,0.5438103815473608,600104
2,Lisa Rinna,3,25.0,3,Eliminated Week 7,7,7,7,0,0.1373626373626373,0.8333333333333334,4.0,Actor/Actress,42,California,United States,Louis van Amstel,4,0.0837174111272859,0.0387502245921892,0.1508985527585898,0.0859263652559373,0.1373626373626373,0.46286936098958503,1172044
2,George Hamilton,3,22.0,3,Eliminated Week 6,6,6,6,0,0.1208791208791208,0.7333333333333333,5.0,Actor/Actress,66,Tennessee,United States,Edyta Sliwinska,5,0.0929557984972388,0.0379574986287442,0.1479175348832629,0.0853087803286628,0.1208791208791208,0.4083392240439063,1301381
2,Giselle Fernandez,3,22.0,3,Eliminated Week 3,3,3,3,1,0.1208791208791208,0.7333333333333333,5.0,News Anchor,44,,Mexico,Jonathan Roberts,8,0.0169308414503358,0.0129680891960453,0.0485293979148839,0.0016172810059705,0.1208791208791208,0.7659447543753413,237032
2,Jerry Rice,3,19.0,3,2nd Place,999,8,999,0,0.1043956043956044,0.6333333333333333,7.0,Athlete,43,Mississippi,United States,Anna Trebunskaya,2,0.2829044842565759,0.062562062378166,0.2454146504892199,0.3286073320943523,0.1043956043956044,0.22114199618492542,3960663
2,Master P,3,14.0,3,Eliminated Week 4,4,4,4,0,0.0769230769230769,0.4666666666666667,8.0,Singer/Rapper,35,Louisiana,United States,Ashly DelGrosso,7,0.1062178757631179,0.0336905942259177,0.1320118575057786,0.0768307550347428,0.0769230769230769,0.3171838448459737,1487050
2,Drew Lachey,4,28.0,3,1st Place,999,8,999,0,0.1772151898734177,0.9333333333333332,1.0,Singer/Rapper,29,Ohio,United States,Cheryl Burke,1,0.2264694810221061,0.0575802482816305,0.223760008745924,0.2386163657330272,0.1772151898734177,0.2542516899926573,3170573
2,Lisa Rinna,4,26.0,3,Eliminated Week 7,7,7,7,0,0.1645569620253164,0.8666666666666667,2.0,Actor/Actress,42,California,United States,Louis van Amstel,4,0.1015777881243858,0.0422009096289471,0.1618271863035098,0.0860655574472651,0.1645569620253164,0.4154541106690619,1422089
2,Stacy Keibler,4,26.0,3,3rd Place,999,8,999,0,0.1645569620253164,0.8666666666666667,2.0,Athlete,26,Maryland,United States,Tony Dovolani,3,0.1615246580342681,0.0506398628230173,0.1975284390761298,0.1595015857073544,0.1645569620253164,0.31351165474855147,2261345
2,Tia Carrere,4,25.0,3,Eliminated Week 5,5,5,5,0,0.1582278481012658,0.8333333333333334,4.0,Actor/Actress,39,Hawaii,United States,Maksim Chmerkoskiy,6,0.0509596087295595,0.0306678257151854,0.1159742360331406,0.0242746623913646,0.1582278481012658,0.6018065381533493,713435
2,Jerry Rice,4,24.0,3,2nd Place,999,8,999,0,0.1518987341772152,0.8,5.0,Athlete,43,Mississippi,United States,Anna Trebunskaya,2,0.2939749553363053,0.0631533179709284,0.2460447534539391,0.3291396433879154,0.1518987341772152,0.21482550409330428,4115649
2,George Hamilton,4,21.0,3,Eliminated Week 6,6,6,6,0,0.1329113924050632,0.7,6.0,Actor/Actress,66,Tennessee,United States,Edyta Sliwinska,5,0.1100152418669307,0.0383967521572804,0.1485927722070096,0.0854469720936476,0.1329113924050632,0.3490130231565852,1540213
2,Master P,4,8.0,3,Eliminated Week 4,4,4,4,1,0.050632911392405,0.2666666666666666,7.0,Singer/Rapper,35,Louisiana,United States,Ashly DelGrosso,7,0.0554782668864436,0.0245592308223928,0.0936116697095296,0.0769552132394254,0.050632911392405,0.44268201226729337,776696
2,Stacy Keibler,5,30.0,3,3rd Place,999,8,999,0,0.1986754966887417,1.0,1.0,Athlete,26,Maryland,United States,Tony Dovolani,3,0.177992322025425,0.0528311858910855,0.2048935127876857,0.1727994004138468,0.1986754966887417,0.2968172182367446,2491893
2,Drew Lachey,5,27.0,3,1st Place,999,8,999,0,0.1788079470198675,0.9,2.0,Singer/Rapper,29,Ohio,United States,Cheryl Burke,1,0.2437158460983911,0.0599297128919972,0.2337799733155605,0.2585100627353645,0.1788079470198675,0.2458999439363612,3412022
2,Lisa Rinna,5,25.0,3,Eliminated Week 7,7,7,7,0,0.1655629139072847,0.8333333333333334,3.0,Actor/Actress,42,California,United States,Louis van Amstel,4,0.1081614796725783,0.0437570075517395,0.1679784978223078,0.0932409333563457,0.1655629139072847,0.4045525975069757,1514261
2,George Hamilton,5,24.0,3,Eliminated Week 6,6,6,6,0,0.1589403973509933,0.8,4.0,Actor/Actress,66,Tennessee,United States,Edyta Sliwinska,5,0.1068969199014585,0.0427794967864426,0.1654369306801755,0.0925707758921685,0.1589403973509933,0.40019391415466704,1496557
2,Jerry Rice,5,23.0,3,2nd Place,999,8,999,0,0.152317880794702,0.7666666666666667,5.0,Athlete,43,Mississippi,United States,Anna Trebunskaya,2,0.3158841358444588,0.0646124856650793,0.2514996424379044,0.3565803611144709,0.152317880794702,0.2045448895125726,4422378
2,Tia Carrere,5,22.0,3,Eliminated Week 5,5,5,5,1,0.1456953642384106,0.7333333333333333,6.0,Actor/Actress,39,Hawaii,United States,Maksim Chmerkoskiy,6,0.0473492964576846,0.0270285263144886,0.1016599564449786,0.0262984664878034,0.1456953642384106,0.5708326910124972,662890
2,Drew Lachey,6,30.0,3,1st Place,999,8,999,0,0.225563909774436,1.0,1.0,Singer/Rapper,29,Ohio,United States,Cheryl Burke,1,0.2590512752521245,0.0600613786884895,0.2337893899027866,0.2654920977713818,0.225563909774436,0.23185131449375843,3626718
2,Stacy Keibler,6,30.0,3,3rd Place,999,8,999,0,0.225563909774436,1.0,1.0,Athlete,26,Maryland,United States,Tony Dovolani,3,0.1911085891477402,0.0544549022181818,0.2152808313581118,0.1774664971416339,0.225563909774436,0.2849422020277926,2675520
2,Lisa Rinna,6,27.0,3,Eliminated Week 7,7,7,7,0,0.2030075187969924,0.9,3.0,Actor/Actress,42,California,United States,Louis van Amstel,4,0.1201263576997657,0.0453183918755066,0.1738966495156618,0.0957592549125607,0.2030075187969924,0.37725602226924915,1681769
2,George Hamilton,6,23.0,3,Eliminated Week 6,6,6,6,1,0.1729323308270676,0.7666666666666667,4.0,Actor/Actress,66,Tennessee,United States,Edyta Sliwinska,5,0.1020813174951794,0.0358579333654695,0.1375662680612032,0.0950709973293977,0.1729323308270676,0.35126832456059187,1429138
2,Jerry Rice,6,23.0,3,2nd Place,999,8,999,0,0.1729323308270676,0.7666666666666667,4.0,Athlete,43,Mississippi,United States,Anna Trebunskaya,2,0.3276324604051907,0.0654030056769585,0.2540257214020419,0.3662111528450257,0.1729323308270676,0.19962309472044706,4586854
2,Drew Lachey,7,27.5,3,1st Place,999,8,999,0,0.2696078431372549,0.9166666666666666,1.0,Singer/Rapper,29,Ohio,United States,Cheryl Burke,1,0.2924681343757796,0.0606570909672836,0.2352888829242339,0.2933844500373716,0.2696078431372549,0.2073972643096493,4094554
2,Stacy Keibler,7,27.5,3,3rd Place,999,8,999,0,0.2696078431372549,0.9166666666666666,1.0,Athlete,26,Maryland,United States,Tony Dovolani,3,0.2109387226818755,0.0571635000767416,0.2226853052812423,0.196110961874246,0.2696078431372549,0.270995762892487,2953142
2,Lisa Rinna,7,26.5,3,Eliminated Week 7,7,7,7,1,0.2598039215686274,0.8833333333333333,3.0,Actor/Actress,42,California,United States,Louis van Amstel,4,0.1318934490558099,0.0429487081850362,0.1640895263845365,0.1058196329545838,0.2598039215686274,0.3256318527758169,1846508
2,Jerry Rice,7,20.5,3,2nd Place,999,8,999,0,0.2009803921568627,0.6833333333333333,4.0,Athlete,43,Mississippi,United States,Anna Trebunskaya,2,0.364699693886538,0.0663754648828061,0.2558368545075942,0.4046849551337985,0.2009803921568627,0.18200033067057145,5105796
2,Drew Lachey,8,28.9998,3,1st Place,999,8,999,0,0.3438729131809768,0.96666,1.0,Singer/Rapper,29,Ohio,United States,Cheryl Burke,1,0.3259085277045632,0.0412713201102508,0.1598281191561898,0.3281043297861519,0.3438729131809768,0.12663467384831165,4562719
2,Stacy Keibler,8,28.6665,3,3rd Place,999,8,999,0,0.339920718960216,0.95555,2.0,Athlete,26,Maryland,United States,Tony Dovolani,3,0.2208230768317752,0.0449640559980782,0.1716671060663617,0.2193192437474814,0.339920718960216,0.203620276663078,3091523
2,Jerry Rice,8,26.666600000000003,3,2nd Place,999,8,999,0,0.3162063678588072,0.8888866666666667,3.0,Athlete,43,Mississippi,United States,Anna Trebunskaya,2,0.4532683954636595,0.0542846184817533,0.2097126563658879,0.4525764264663666,0.3162063678588072,0.11976263738005428,6345758
3,Mario Lopez,1,26.0,3,2nd Place,999,10,999,0,0.1226415094339622,0.8666666666666667,1.0,Actor/Actress,32,California,United States,Karina Smirnoff,2,0.2299683946281882,0.0588690023548539,0.2289095554091252,0.2561739337121201,0.1226415094339622,0.2559873605676685,3219558
3,Emmitt Smith,1,24.0,3,1st Place,999,10,999,0,0.1132075471698113,0.8,2.0,Athlete,37,Florida,United States,Cheryl Burke,1,0.3240277642229067,0.0655719074435138,0.2553458356048264,0.3764716112652029,0.1132075471698113,0.2023650893026724,4536389
3,Vivica A. Fox,1,22.0,3,Eliminated Week 4,4,4,4,0,0.1037735849056603,0.7333333333333333,3.0,Actor/Actress,42,Indiana,United States,Nick Kosovich,8,0.0250994795734528,0.0219837182186155,0.081189026462149,0.0053857818950889,0.1037735849056603,0.8758635076189876,351393
3,Willa Ford,1,22.0,3,Eliminated Week 5,5,5,5,0,0.1037735849056603,0.7333333333333333,3.0,Singer/Rapper,25,Florida,United States,Maksim Chmerkoskiy,7,0.0490488967979324,0.0305293625746216,0.1152542130607494,0.035153574282379,0.1037735849056603,0.6224270996429124,686685
3,Joey Lawrence,1,21.0,3,3rd Place,999,9,999,0,0.0990566037735849,0.7,5.0,Actor/Actress,30,Pennsylvania,United States,Edyta Sliwinska,3,0.1227255712197678,0.0460968212562522,0.1780086603029596,0.1283815986635589,0.0990566037735849,0.37560893624773156,1718158
3,Monique Coleman,1,19.0,3,Eliminated Week 8,8,8,8,0,0.0896226415094339,0.6333333333333333,6.0,Actor/Actress,25,South Carolina,United States,Louis van Amstel,4,0.0813648330507966,0.0385997665459682,0.1487865520033593,0.0782511124097295,0.0896226415094339,0.47440356107988463,1139108
3,Shanna Moakler,1,18.0,3,Eliminated Week 2,2,2,2,0,0.0849056603773584,0.6,7.0,Model,31,Rhode Island,United States,Jesse DeSoto,10,0.0176172390348055,0.0185798757462402,0.0689058179468544,0.0005116329225425,0.0849056603773584,1.0546417466172122,246641
3,Harry Hamlin,1,17.0,3,Eliminated Week 3,3,3,3,0,0.080188679245283,0.5666666666666667,8.0,Actor/Actress,54,California,United States,Ashly DelGrosso,9,0.0242531773955883,0.0213047771506334,0.0794529511768678,0.0098449220342888,0.080188679245283,0.8784324133343774,339544
3,Jerry Springer,1,16.0,3,Eliminated Week 7,7,7,7,0,0.0754716981132075,0.5333333333333333,9.0,TV Personality,62,,England,Kym Johnson,5,0.0662829479328192,0.0345125607165562,0.1335168268620553,0.0634740064587724,0.0754716981132075,0.5206853616640023,927961
3,Sara Evans,1,15.0,3,Withdrew,-1,5,5,0,0.070754716981132,0.5,10.0,Singer/Rapper,35,Missouri,United States,Tony Dovolani,6,0.0516450581709092,0.0307058130487253,0.1182592069833921,0.0462603879530435,0.070754716981132,0.5945547190035188,723031
3,Tucker Carlson,1,12.0,3,Eliminated Week 1,1,1,1,1,0.0566037735849056,0.4,11.0,TV Personality,37,California,United States,Elena Grinenko,11,0.0079666379728349,0.0085061908653797,0.0296999263368129,9.143840327314644e-05,0.0566037735849056,1.067726548436693,111533
3,Joey Lawrence,2,29.0,3,3rd Place,999,9,999,0,0.1260869565217391,0.9666666666666668,1.0,Actor/Actress,30,Pennsylvania,United States,Edyta Sliwinska,3,0.1269509470774474,0.046714505283726,0.1814646587637001,0.1283933387454447,0.1260869565217391,0.3679728773919856,1777313
3,Monique Coleman,2,26.0,3,Eliminated Week 8,8,8,8,0,0.1130434782608695,0.8666666666666667,2.0,Actor/Actress,25,South Carolina,United States,Louis van Amstel,4,0.0848024217673482,0.0391618865566432,0.1509984936358867,0.0782582682208185,0.1130434782608695,0.46180151156628696,1187234
3,Emmitt Smith,2,24.0,3,1st Place,999,10,999,0,0.1043478260869565,0.8,3.0,Athlete,37,Florida,United States,Cheryl Burke,1,0.3216769506288296,0.065397853490242,0.2532142990452972,0.3765060383761747,0.1043478260869565,0.20330288931923512,4503477
3,Vivica A. Fox,2,24.0,3,Eliminated Week 4,4,4,4,0,0.1043478260869565,0.8,3.0,Actor/Actress,42,Indiana,United States,Nick Kosovich,8,0.02615568107843,0.0216782757920824,0.0818624420119746,0.0053862744074203,0.1043478260869565,0.8288171019931875,366180
3,Willa Ford,2,23.0,3,Eliminated Week 5,5,5,5,0,0.1,0.7666666666666667,5.0,Singer/Rapper,25,Florida,United States,Maksim Chmerkoskiy,7,0.0487822483171514,0.0294791218944431,0.1109464196290248,0.035156788963026,0.1,0.6043001893391311,682951
3,Shanna Moakler,2,22.0,3,Eliminated Week 2,2,2,2,1,0.0956521739130434,0.7333333333333333,6.0,Model,31,Rhode Island,United States,Jesse DeSoto,10,0.0071037940345337,0.0060462027525071,0.022155736194789,0.0005116797097181,0.0956521739130434,0.8511230369454227,99453
3,Harry Hamlin,2,21.0,3,Eliminated Week 3,3,3,3,0,0.0913043478260869,0.7,7.0,Actor/Actress,54,California,United States,Ashly DelGrosso,9,0.0349105830291167,0.022398679051178,0.0841161771344934,0.0098458223205607,0.0913043478260869,0.6416014030042605,488748
3,Mario Lopez,2,21.0,3,2nd Place,999,10,999,0,0.0913043478260869,0.7,7.0,Actor/Actress,32,California,United States,Karina Smirnoff,2,0.2223284231591771,0.0573484577169969,0.2233544688178279,0.2561973599896404,0.0913043478260869,0.25794478682529043,3112598
3,Sara Evans,2,21.0,3,Withdrew,-1,5,5,0,0.0913043478260869,0.7,7.0,Singer/Rapper,35,Missouri,United States,Tony Dovolani,6,0.0568594269888259,0.031177685120689,0.118995250439231,0.0462646183158704,0.0913043478260869,0.5483292177182173,796032
3,Jerry Springer,2,19.0,3,Eliminated Week 7,7,7,7,0,0.0826086956521739,0.6333333333333333,10.0,TV Personality,62,,England,Kym Johnson,5,0.0704295239191399,0.0339548073035613,0.1285246495313914,0.0634798109513259,0.0826086956521739,0.48211041924044234,986013
3,Monique Coleman,3,27.0,3,Eliminated Week 8,8,8,8,0,0.1304347826086956,0.9,1.0,Actor/Actress,25,South Carolina,United States,Louis van Amstel,4,0.0887733180082432,0.0400464622616622,0.1541877580213056,0.0782983318885506,0.1304347826086956,0.4511092202044719,1242826
3,Vivica A. Fox,3,27.0,3,Eliminated Week 4,4,4,4,0,0.1304347826086956,0.9,1.0,Actor/Actress,42,Indiana,United States,Nick Kosovich,8,0.0314179589402036,0.024177770754193,0.0917144032146114,0.005389031865681,0.1304347826086956,0.7695525606933753,439851
