season,celebrity_name,week,total_judge_score,num_judges,results,parsed_elim_week,last_active_week,true_elimination_week,is_eliminated,judge_percentage,score_rate,week_rank,celebrity_industry,celebrity_age_during_season,celebrity_homestate,celebrity_homecountry/region,ballroom_partner,placement
1,Kelly Monaco,2,17.0,3,1st Place,999,6,999,0,0.14049586776859505,0.5666666666666667,5.0,Actor/Actress,29,Pennsylvania,United States,Alec Mazo,1
1,Evander Holyfield,2,14.0,3,Eliminated Week 3,3,3,3,0,0.11570247933884298,0.4666666666666667,6.0,Athlete,42,Alabama,United States,Edyta Sliwinska,5
1,Rachel Hunter,3,26.0,3,Eliminated Week 4,4,4,4,0,0.24528301886792453,0.8666666666666667,1.0,Model,35,,New Zealand,Jonathan Roberts,4
1,John O'Hurley,3,24.0,3,2nd Place,999,6,999,0,0.22641509433962265,0.8,2.0,Actor/Actress,50,Maine,United States,Charlotte Jorgensen,2
1,Joey McIntyre,3,22.0,3,3rd Place,999,5,999,0,0.20754716981132076,0.7333333333333333,3.0,Singer/Rapper,32,Massachusetts,United States,Ashly DelGrosso,3
1,Kelly Monaco,3,21.0,3,1st Place,999,6,999,0,0.19811320754716982,0.7,4.0,Actor/Actress,29,Pennsylvania,United States,Alec Mazo,1
1,Evander Holyfield,3,13.0,3,Eliminated Week 3,3,3,3,1,0.12264150943396226,0.43333333333333335,5.0,Athlete,42,Alabama,United States,Edyta Sliwinska,5
1,Kelly Monaco,4,26.0,3,1st Place,999,6,999,0,0.2826086956521739,0.8666666666666667,1.0,Actor/Actress,29,Pennsylvania,United States,Alec Mazo,1
1,Rachel Hunter,4,25.0,3,Eliminated Week 4,4,4,4,1,0.2717391304347826,0.8333333333333334,2.0,Model,35,,New Zealand,Jonathan Roberts,4
1,John O'Hurley,4,21.0,3,2nd Place,999,6,999,0,0.22826086956521738,0.7,3.0,Actor/Actress,50,Maine,United States,Charlotte Jorgensen,2
1,Joey McIntyre,4,20.0,3,3rd Place,999,5,999,0,0.21739130434782608,0.6666666666666666,4.0,Singer/Rapper,32,Massachusetts,United States,Ashly DelGrosso,3
1,John O'Hurley,5,27.0,3,2nd Place,999,6,999,0,0.3698630136986301,0.9,1.0,Actor/Actress,50,Maine,United States,Charlotte Jorgensen,2
1,Kelly Monaco,5,23.5,3,1st Place,999,6,999,0,0.3219178082191781,0.7833333333333333,2.0,Actor/Actress,29,Pennsylvania,United States,Alec Mazo,1
1,Joey McIntyre,5,22.5,3,3rd Place,999,5,999,0,0.3082191780821918,0.75,3.0,Singer/Rapper,32,Massachusetts,United States,Ashly DelGrosso,3
1,Kelly Monaco,6,27.5,3,1st Place,999,6,999,0,0.5045871559633027,0.9166666666666666,1.0,Actor/Actress,29,Pennsylvania,United States,Alec Mazo,1
1,John O'Hurley,6,27.0,3,2nd Place,999,6,999,0,0.4954128440366973,0.9,2.0,Actor/Actress,50,Maine,United States,Charlotte Jorgensen,2
2,Drew Lachey,1,24.0,3,1st Place,999,8,999,0,0.12307692307692308,0.8,1.0,Singer/Rapper,29,Ohio,United States,Cheryl Burke,1
2,Giselle Fernandez,1,23.0,3,Eliminated Week 3,3,3,3,0,0.11794871794871795,0.7666666666666667,2.0,News Anchor,44,,Mexico,Jonathan Roberts,8
2,Tatum O'Neal,1,23.0,3,Eliminated Week 2,2,2,2,0,0.11794871794871795,0.7666666666666667,2.0,Actor/Actress,42,California,United States,Nick Kosovich,9
2,Stacy Keibler,1,22.0,3,3rd Place,999,8,999,0,0.11282051282051282,0.7333333333333333,4.0,Athlete,26,Maryland,United States,Tony Dovolani,3
2,Jerry Rice,1,21.0,3,2nd Place,999,8,999,0,0.1076923076923077,0.7,5.0,Athlete,43,Mississippi,United States,Anna Trebunskaya,2
2,Tia Carrere,1,20.0,3,Eliminated Week 5,5,5,5,0,0.10256410256410256,0.6666666666666666,6.0,Actor/Actress,39,Hawaii,United States,Maksim Chmerkoskiy,6
2,Lisa Rinna,1,19.0,3,Eliminated Week 7,7,7,7,0,0.09743589743589744,0.6333333333333333,7.0,Actor/Actress,42,California,United States,Louis van Amstel,4
2,George Hamilton,1,18.0,3,Eliminated Week 6,6,6,6,0,0.09230769230769231,0.6,8.0,Actor/Actress,66,Tennessee,United States,Edyta Sliwinska,5
2,Kenny Mayne,1,13.0,3,Eliminated Week 1,1,1,1,1,0.06666666666666667,0.43333333333333335,9.0,Sports Broadcaster,46,Washington,United States,Andrea Hale,10
2,Master P,1,12.0,3,Eliminated Week 4,4,4,4,0,0.06153846153846154,0.4,10.0,Singer/Rapper,35,Louisiana,United States,Ashly DelGrosso,7
2,Stacy Keibler,2,29.0,3,3rd Place,999,8,999,0,0.145,0.9666666666666667,1.0,Athlete,26,Maryland,United States,Tony Dovolani,3
2,Drew Lachey,2,27.0,3,1st Place,999,8,999,0,0.135,0.9,2.0,Singer/Rapper,29,Ohio,United States,Cheryl Burke,1
2,Giselle Fernandez,2,24.0,3,Eliminated Week 3,3,3,3,0,0.12,0.8,3.0,News Anchor,44,,Mexico,Jonathan Roberts,8
2,Jerry Rice,2,23.0,3,2nd Place,999,8,999,0,0.115,0.7666666666666667,4.0,Athlete,43,Mississippi,United States,Anna Trebunskaya,2
2,George Hamilton,2,22.0,3,Eliminated Week 6,6,6,6,0,0.11,0.7333333333333333,5.0,Actor/Actress,66,Tennessee,United States,Edyta Sliwinska,5
2,Tia Carrere,2,22.0,3,Eliminated Week 5,5,5,5,0,0.11,0.7333333333333333,5.0,Actor/Actress,39,Hawaii,United States,Maksim Chmerkoskiy,6
2,Lisa Rinna,2,20.0,3,Eliminated Week 7,7,7,7,0,0.1,0.6666666666666666,7.0,Actor/Actress,42,California,United States,Louis van Amstel,4
2,Tatum O'Neal,2,17.0,3,Eliminated Week 2,2,2,2,1,0.085,0.5666666666666667,8.0,Actor/Actress,42,California,United States,Nick Kosovich,9
2,Master P,2,16.0,3,Eliminated Week 4,4,4,4,0,0.08,0.5333333333333333,9.0,Singer/Rapper,35,Louisiana,United States,Ashly DelGrosso,7
2,Drew Lachey,3,27.0,3,1st Place,999,8,999,0,0.14835164835164835,0.9,1.0,Singer/Rapper,29,Ohio,United States,Cheryl Burke,1
2,Stacy Keibler,3,27.0,3,3rd Place,999,8,999,0,0.14835164835164835,0.9,1.0,Athlete,26,Maryland,United States,Tony Dovolani,3
2,Tia Carrere,3,26.0,3,Eliminated Week 5,5,5,5,0,0.14285714285714285,0.8666666666666667,3.0,Actor/Actress,39,Hawaii,United States,Maksim Chmerkoskiy,6
2,Lisa Rinna,3,25.0,3,Eliminated Week 7,7,7,7,0,0.13736263736263737,0.8333333333333334,4.0,Actor/Actress,42,California,United States,Louis van Amstel,4
2,George Hamilton,3,22.0,3,Eliminated Week 6,6,6,6,0,0.12087912087912088,0.7333333333333333,5.0,Actor/Actress,66,Tennessee,United States,Edyta Sliwinska,5
2,Giselle Fernandez,3,22.0,3,Eliminated Week 3,3,3,3,1,0.12087912087912088,0.7333333333333333,5.0,News Anchor,44,,Mexico,Jonathan Roberts,8
2,Jerry Rice,3,19.0,3,2nd Place,999,8,999,0,0.1043956043956044,0.6333333333333333,7.0,Athlete,43,Mississippi,United States,Anna Trebunskaya,2
2,Master P,3,14.0,3,Eliminated Week 4,4,4,4,0,0.07692307692307693,0.4666666666666667,8.0,Singer/Rapper,35,Louisiana,United States,Ashly DelGrosso,7
2,Drew Lachey,4,28.0,3,1st Place,999,8,999,0,0.17721518987341772,0.9333333333333333,1.0,Singer/Rapper,29,Ohio,United States,Cheryl Burke,1
2,Lisa Rinna,4,26.0,3,Eliminated Week 7,7,7,7,0,0.16455696202531644,0.8666666666666667,2.0,Actor/Actress,42,California,United States,Louis van Amstel,4
2,Stacy Keibler,4,26.0,3,3rd Place,999,8,999,0,0.16455696202531644,0.8666666666666667,2.0,Athlete,26,Maryland,United States,Tony Dovolani,3
2,Tia Carrere,4,25.0,3,Eliminated Week 5,5,5,5,0,0.15822784810126583,0.8333333333333334,4.0,Actor/Actress,39,Hawaii,United States,Maksim Chmerkoskiy,6
2,Jerry Rice,4,24.0,3,2nd Place,999,8,999,0,0.1518987341772152,0.8,5.0,Athlete,43,Mississippi,United States,Anna Trebunskaya,2
2,George Hamilton,4,21.0,3,Eliminated Week 6,6,6,6,0,0.13291139240506328,0.7,6.0,Actor/Actress,66,Tennessee,United States,Edyta Sliwinska,5
2,Master P,4,8.0,3,Eliminated Week 4,4,4,4,1,0.05063291139240506,0.26666666666666666,7.0,Singer/Rapper,35,Louisiana,United States,Ashly DelGrosso,7
2,Stacy Keibler,5,30.0,3,3rd Place,999,8,999,0,0.1986754966887417,1.0,1.0,Athlete,26,Maryland,United States,Tony Dovolani,3
2,Drew Lachey,5,27.0,3,1st Place,999,8,999,0,0.17880794701986755,0.9,2.0,Singer/Rapper,29,Ohio,United States,Cheryl Burke,1
2,Lisa Rinna,5,25.0,3,Eliminated Week 7,7,7,7,0,0.16556291390728478,0.8333333333333334,3.0,Actor/Actress,42,California,United States,Louis van Amstel,4
2,George Hamilton,5,24.0,3,Eliminated Week 6,6,6,6,0,0.15894039735099338,0.8,4.0,Actor/Actress,66,Tennessee,United States,Edyta Sliwinska,5
2,Jerry Rice,5,23.0,3,2nd Place,999,8,999,0,0.152317880794702,0.7666666666666667,5.0,Athlete,43,Mississippi,United States,Anna Trebunskaya,2
2,Tia Carrere,5,22.0,3,Eliminated Week 5,5,5,5,1,0.1456953642384106,0.7333333333333333,6.0,Actor/Actress,39,Hawaii,United States,Maksim Chmerkoskiy,6
2,Drew Lachey,6,30.0,3,1st Place,999,8,999,0,0.22556390977443608,1.0,1.0,Singer/Rapper,29,Ohio,United States,Cheryl Burke,1
2,Stacy Keibler,6,30.0,3,3rd Place,999,8,999,0,0.22556390977443608,1.0,1.0,Athlete,26,Maryland,United States,Tony Dovolani,3
2,Lisa Rinna,6,27.0,3,Eliminated Week 7,7,7,7,0,0.20300751879699247,0.9,3.0,Actor/Actress,42,California,United States,Louis van Amstel,4
2,George Hamilton,6,23.0,3,Eliminated Week 6,6,6,6,1,0.17293233082706766,0.7666666666666667,4.0,Actor/Actress,66,Tennessee,United States,Edyta Sliwinska,5
2,Jerry Rice,6,23.0,3,2nd Place,999,8,999,0,0.17293233082706766,0.7666666666666667,4.0,Athlete,43,Mississippi,United States,Anna Trebunskaya,2
2,Drew Lachey,7,27.5,3,1st Place,999,8,999,0,0.2696078431372549,0.9166666666666666,1.0,Singer/Rapper,29,Ohio,United States,Cheryl Burke,1
2,Stacy Keibler,7,27.5,3,3rd Place,999,8,999,0,0.2696078431372549,0.9166666666666666,1.0,Athlete,26,Maryland,United States,Tony Dovolani,3
2,Lisa Rinna,7,26.5,3,Eliminated Week 7,7,7,7,1,0.25980392156862747,0.8833333333333333,3.0,Actor/Actress,42,California,United States,Louis van Amstel,4
2,Jerry Rice,7,20.5,3,2nd Place,999,8,999,0,0.20098039215686275,0.6833333333333333,4.0,Athlete,43,Mississippi,United States,Anna Trebunskaya,2
2,Drew Lachey,8,28.9998,3,1st Place,999,8,999,0,0.34387291318097685,0.96666,1.0,Singer/Rapper,29,Ohio,United States,Cheryl Burke,1
2,Stacy Keibler,8,28.6665,3,3rd Place,999,8,999,0,0.33992071896021603,0.95555,2.0,Athlete,26,Maryland,United States,Tony Dovolani,3
2,Jerry Rice,8,26.666600000000003,3,2nd Place,999,8,999,0,0.31620636785880724,0.8888866666666667,3.0,Athlete,43,Mississippi,United States,Anna Trebunskaya,2
3,Mario Lopez,1,26.0,3,2nd Place,999,10,999,0,0.12264150943396226,0.8666666666666667,1.0,Actor/Actress,32,California,United States,Karina Smirnoff,2
3,Emmitt Smith,1,24.0,3,1st Place,999,10,999,0,0.11320754716981132,0.8,2.0,Athlete,37,Florida,United States,Cheryl Burke,1
3,Vivica A. Fox,1,22.0,3,Eliminated Week 4,4,4,4,0,0.10377358490566038,0.7333333333333333,3.0,Actor/Actress,42,Indiana,United States,Nick Kosovich,8
3,Willa Ford,1,22.0,3,Eliminated Week 5,5,5,5,0,0.10377358490566038,0.7333333333333333,3.0,Singer/Rapper,25,Florida,United States,Maksim Chmerkoskiy,7
3,Joey Lawrence,1,21.0,3,3rd Place,999,9,999,0,0.09905660377358491,0.7,5.0,Actor/Actress,30,Pennsylvania,United States,Edyta Sliwinska,3
3,Monique Coleman,1,19.0,3,Eliminated Week 8,8,8,8,0,0.08962264150943396,0.6333333333333333,6.0,Actor/Actress,25,South Carolina,United States,Louis van Amstel,4
3,Shanna Moakler,1,18.0,3,Eliminated Week 2,2,2,2,0,0.08490566037735849,0.6,7.0,Model,31,Rhode Island,United States,Jesse DeSoto,10
3,Harry Hamlin,1,17.0,3,Eliminated Week 3,3,3,3,0,0.08018867924528301,0.5666666666666667,8.0,Actor/Actress,54,California,United States,Ashly DelGrosso,9
3,Jerry Springer,1,16.0,3,Eliminated Week 7,7,7,7,0,0.07547169811320754,0.5333333333333333,9.0,TV Personality,62,,England,Kym Johnson,5
3,Sara Evans,1,15.0,3,Withdrew,-1,5,5,0,0.07075471698113207,0.5,10.0,Singer/Rapper,35,Missouri,United States,Tony Dovolani,6
3,Tucker Carlson,1,12.0,3,Eliminated Week 1,1,1,1,1,0.05660377358490566,0.4,11.0,TV Personality,37,California,United States,Elena Grinenko,11
3,Joey Lawrence,2,29.0,3,3rd Place,999,9,999,0,0.12608695652173912,0.9666666666666667,1.0,Actor/Actress,30,Pennsylvania,United States,Edyta Sliwinska,3
3,Monique Coleman,2,26.0,3,Eliminated Week 8,8,8,8,0,0.11304347826086956,0.8666666666666667,2.0,Actor/Actress,25,South Carolina,United States,Louis van Amstel,4
3,Emmitt Smith,2,24.0,3,1st Place,999,10,999,0,0.10434782608695652,0.8,3.0,Athlete,37,Florida,United States,Cheryl Burke,1
3,Vivica A. Fox,2,24.0,3,Eliminated Week 4,4,4,4,0,0.10434782608695652,0.8,3.0,Actor/Actress,42,Indiana,United States,Nick Kosovich,8
3,Willa Ford,2,23.0,3,Eliminated Week 5,5,5,5,0,0.1,0.7666666666666667,5.0,Singer/Rapper,25,Florida,United States,Maksim Chmerkoskiy,7
3,Shanna Moakler,2,22.0,3,Eliminated Week 2,2,2,2,1,0.09565217391304348,0.7333333333333333,6.0,Model,31,Rhode Island,United States,Jesse DeSoto,10
3,Harry Hamlin,2,21.0,3,Eliminated Week 3,3,3,3,0,0.09130434782608696,0.7,7.0,Actor/Actress,54,California,United States,Ashly DelGrosso,9
3,Mario Lopez,2,21.0,3,2nd Place,999,10,999,0,0.09130434782608696,0.7,7.0,Actor/Actress,32,California,United States,Karina Smirnoff,2
3,Sara Evans,2,21.0,3,Withdrew,-1,5,5,0,0.09130434782608696,0.7,7.0,Singer/Rapper,35,Missouri,United States,Tony Dovolani,6
3,Jerry Springer,2,19.0,3,Eliminated Week 7,7,7,7,0,0.08260869565217391,0.6333333333333333,10.0,TV Personality,62,,England,Kym Johnson,5
3,Monique Coleman,3,27.0,3,Eliminated Week 8,8,8,8,0,0.13043478260869565,0.9,1.0,Actor/Actress,25,South Carolina,United States,Louis van Amstel,4
3,Vivica A. Fox,3,27.0,3,Eliminated Week 4,4,4,4,0,0.13043478260869565,0.9,1.0,Actor/Actress,42,Indiana,United States,Nick Kosovich,8
3,Sara Evans,3,25.0,3,Withdrew,-1,5,5,0,0.12077294685990338,0.8333333333333334,3.0,Singer/Rapper,35,Missouri,United States,Tony Dovolani,6
3,Harry Hamlin,3,22.0,3,Eliminated Week 3,3,3,3,1,0.10628019323671498,0.7333333333333333,4.0,Actor/Actress,54,California,United States,Ashly DelGrosso,9
3,Joey Lawrence,3,22.0,3,3rd Place,999,9,999,0,0.10628019323671498,0.7333333333333333,4.0,Actor/Actress,30,Pennsylvania,United States,Edyta Sliwinska,3
3,Mario Lopez,3,22.0,3,2nd Place,999,10,999,0,0.10628019323671498,0.7333333333333333,4.0,Actor/Actress,32,California,United States,Karina Smirnoff,2
3,Willa Ford,3,22.0,3,Eliminated Week 5,5,5,5,0,0.10628019323671498,0.7333333333333333,4.0,Singer/Rapper,25,Florida,United States,Maksim Chmerkoskiy,7
3,Jerry Springer,3,21.0,3,Eliminated Week 7,7,7,7,0,0.10144927536231885,0.7,8.0,TV Personality,62,,England,Kym Johnson,5
3,Emmitt Smith,3,19.0,3,1st Place,999,10,999,0,0.09178743961352658,0.6333333333333333,9.0,Athlete,37,Florida,United States,Cheryl Burke,1
3,Mario Lopez,4,29.0,3,2nd Place,999,10,999,0,0.14646464646464646,0.9666666666666667,1.0,Actor/Actress,32,California,United States,Karina Smirnoff,2
3,Willa Ford,4,28.0,3,Eliminated Week 5,5,5,5,0,0.1414141414141414,0.9333333333333333,2.0,Singer/Rapper,25,Florida,United States,Maksim Chmerkoskiy,7
3,Joey Lawrence,4,27.0,3,3rd Place,999,9,999,0,0.13636363636363635,0.9,3.0,Actor/Actress,30,Pennsylvania,United States,Edyta Sliwinska,3
3,Emmitt Smith,4,24.0,3,1st Place,999,10,999,0,0.12121212121212122,0.8,4.0,Athlete,37,Florida,United States,Cheryl Burke,1
3,Monique Coleman,4,24.0,3,Eliminated Week 8,8,8,8,0,0.12121212121212122,0.8,4.0,Actor/Actress,25,South Carolina,United States,Louis van Amstel,4
3,Vivica A. Fox,4,24.0,3,Eliminated Week 4,4,4,4,1,0.12121212121212122,0.8,4.0,Actor/Actress,42,Indiana,United States,Nick Kosovich,8
3,Jerry Springer,4,22.0,3,Eliminated Week 7,7,7,7,0,0.1111111111111111,0.7333333333333333,7.0,TV Personality,62,,England,Kym Johnson,5
3,Sara Evans,4,20.0,3,Withdrew,-1,5,5,0,0.10101010101010101,0.6666666666666666,8.0,Singer/Rapper,35,Missouri,United States,Tony Dovolani,6
3,Emmitt Smith,5,27.0,3,1st Place,999,10,999,0,0.14917127071823205,0.9,1.0,Athlete,37,Florida,United States,Cheryl Burke,1
3,Mario Lopez,5,27.0,3,2nd Place,999,10,999,0,0.14917127071823205,0.9,1.0,Actor/Actress,32,California,United States,Karina Smirnoff,2
3,Monique Coleman,5,27.0,3,Eliminated Week 8,8,8,8,0,0.14917127071823205,0.9,1.0,Actor/Actress,25,South Carolina,United States,Louis van Amstel,4
3,Willa Ford,5,27.0,3,Eliminated Week 5,5,5,5,1,0.14917127071823205,0.9,1.0,Singer/Rapper,25,Florida,United States,Maksim Chmerkoskiy,7
3,Joey Lawrence,5,25.0,3,3rd Place,999,9,999,0,0.13812154696132597,0.8333333333333334,5.0,Actor/Actress,30,Pennsylvania,United States,Edyta Sliwinska,3
3,Jerry Springer,5,24.0,3,Eliminated Week 7,7,7,7,0,0.13259668508287292,0.8,6.0,TV Personality,62,,England,Kym Johnson,5
3,Sara Evans,5,24.0,3,Withdrew,-1,5,5,1,0.13259668508287292,0.8,6.0,Singer/Rapper,35,Missouri,United States,Tony Dovolani,6
3,Mario Lopez,6,28.0,3,2nd Place,999,10,999,0,0.23728813559322035,0.9333333333333333,1.0,Actor/Actress,32,California,United States,Karina Smirnoff,2
3,Emmitt Smith,6,25.0,3,1st Place,999,10,999,0,0.211864406779661,0.8333333333333334,2.0,Athlete,37,Florida,United States,Cheryl Burke,1
3,Joey Lawrence,6,24.0,3,3rd Place,999,9,999,0,0.2033898305084746,0.8,3.0,Actor/Actress,30,Pennsylvania,United States,Edyta Sliwinska,3
3,Monique Coleman,6,23.0,3,Eliminated Week 8,8,8,8,0,0.19491525423728814,0.7666666666666667,4.0,Actor/Actress,25,South Carolina,United States,Louis van Amstel,4
3,Jerry Springer,6,18.0,3,Eliminated Week 7,7,7,7,0,0.15254237288135594,0.6,5.0,TV Personality,62,,England,Kym Johnson,5
3,Emmitt Smith,7,28.5,3,1st Place,999,10,999,0,0.2111111111111111,0.95,1.0,Athlete,37,Florida,United States,Cheryl Burke,1
3,Joey Lawrence,7,28.5,3,3rd Place,999,9,999,0,0.2111111111111111,0.95,1.0,Actor/Actress,30,Pennsylvania,United States,Edyta Sliwinska,3
3,Mario Lopez,7,28.0,3,2nd Place,999,10,999,0,0.2074074074074074,0.9333333333333333,3.0,Actor/Actress,32,California,United States,Karina Smirnoff,2
3,Monique Coleman,7,27.0,3,Eliminated Week 8,8,8,8,0,0.2,0.9,4.0,Actor/Actress,25,South Carolina,United States,Louis van Amstel,4
3,Jerry Springer,7,23.0,3,Eliminated Week 7,7,7,7,1,0.17037037037037037,0.7666666666666667,5.0,TV Personality,62,,England,Kym Johnson,5
3,Mario Lopez,8,28.5,3,2nd Place,999,10,999,0,0.26146788990825687,0.95,1.0,Actor/Actress,32,California,United States,Karina Smirnoff,2
3,Emmitt Smith,8,27.0,3,1st Place,999,10,999,0,0.24770642201834864,0.9,2.0,Athlete,37,Florida,United States,Cheryl Burke,1
3,Joey Lawrence,8,27.0,3,3rd Place,999,9,999,0,0.24770642201834864,0.9,2.0,Actor/Actress,30,Pennsylvania,United States,Edyta Sliwinska,3
3,Monique Coleman,8,26.5,3,Eliminated Week 8,8,8,8,1,0.24311926605504589,0.8833333333333333,4.0,Actor/Actress,25,South Carolina,United States,Louis van Amstel,4
3,Emmitt Smith,9,29.5,3,1st Place,999,10,999,0,0.3333333333333333,0.9833333333333333,1.0,Athlete,37,Florida,United States,Cheryl Burke,1
3,Joey Lawrence,9,29.5,3,3rd Place,999,9,999,0,0.3333333333333333,0.9833333333333333,1.0,Actor/Actress,30,Pennsylvania,United States,Edyta Sliwinska,3
3,Mario Lopez,9,29.5,3,2nd Place,999,10,999,0,0.3333333333333333,0.9833333333333333,1.0,Actor/Actress,32,California,United States,Karina Smirnoff,2
3,Emmitt Smith,10,29.666600000000003,3,1st Place,999,10,999,0,0.5,0.9888866666666668,1.0,Athlete,37,Florida,United States,Cheryl Burke,1
3,Mario Lopez,10,29.666600000000003,3,2nd Place,999,10,999,0,0.5,0.9888866666666668,1.0,Actor/Actress,32,California,United States,Karina Smirnoff,2
4,Joey Fatone,1,24.0,3,2nd Place,999,10,999,0,0.11650485436893204,0.8,1.0,Singer/Rapper,30,New York,United States,Kym Johnson,2
4,Laila Ali,1,23.0,3,3rd Place,999,10,999,0,0.11165048543689321,0.7666666666666667,2.0,Athlete,29,Florida,United States,Maksim Chmerkoskiy,3
4,Apolo Anton Ohno,1,21.0,3,1st Place,999,10,999,0,0.10194174757281553,0.7,3.0,Athlete,24,Washington,United States,Julianne Hough,1
4,Ian Ziering,1,21.0,3,Eliminated Week 9,9,9,9,0,0.10194174757281553,0.7,3.0,Actor/Actress,42,New Jersey,United States,Cheryl Burke,4
4,Paulina Porizkova,1,19.0,3,Eliminated Week 2,2,2,2,0,0.09223300970873786,0.6333333333333333,5.0,Model,41,,Czechoslovakia,Alec Mazo,11
4,Shandi Finnessey,1,19.0,3,Eliminated Week 3,3,3,3,0,0.09223300970873786,0.6333333333333333,5.0,Beauty Pagent,28,Missouri,United States,Brian Fortuna,10
4,Heather Mills,1,18.0,3,Eliminated Week 6,6,6,6,0,0.08737864077669903,0.6,7.0,Model,39,,England,Jonathan Roberts,7
4,John Ratzenberger,1,17.0,3,Eliminated Week 7,7,7,7,0,0.0825242718446602,0.5666666666666667,8.0,Actor/Actress,59,Connecticut,United States,Edyta Sliwinska,6
4,Clyde Drexler,1,16.0,3,Eliminated Week 5,5,5,5,0,0.07766990291262135,0.5333333333333333,9.0,Athlete,44,Louisiana,United States,Elena Grinenko,8
4,Leeza Gibbons,1,15.0,3,Eliminated Week 4,4,4,4,0,0.07281553398058252,0.5,10.0,TV Personality,50,South Carolina,United States,Tony Dovolani,9
4,Billy Ray Cyrus,1,13.0,3,Eliminated Week 8,8,8,8,0,0.06310679611650485,0.43333333333333335,11.0,Singer/Rapper,45,Kentucky,United States,Karina Smirnoff,5
4,Laila Ali,2,27.0,3,3rd Place,999,10,999,0,0.11020408163265306,0.9,1.0,Athlete,29,Florida,United States,Maksim Chmerkoskiy,3
4,Apolo Anton Ohno,2,26.0,3,1st Place,999,10,999,0,0.10612244897959183,0.8666666666666667,2.0,Athlete,24,Washington,United States,Julianne Hough,1
4,Heather Mills,2,24.0,3,Eliminated Week 6,6,6,6,0,0.09795918367346938,0.8,3.0,Model,39,,England,Jonathan Roberts,7
4,Joey Fatone,2,24.0,3,2nd Place,999,10,999,0,0.09795918367346938,0.8,3.0,Singer/Rapper,30,New York,United States,Kym Johnson,2
4,Ian Ziering,2,22.0,3,Eliminated Week 9,9,9,9,0,0.08979591836734693,0.7333333333333333,5.0,Actor/Actress,42,New Jersey,United States,Cheryl Burke,4
4,Billy Ray Cyrus,2,21.0,3,Eliminated Week 8,8,8,8,0,0.08571428571428572,0.7,6.0,Singer/Rapper,45,Kentucky,United States,Karina Smirnoff,5
4,John Ratzenberger,2,21.0,3,Eliminated Week 7,7,7,7,0,0.08571428571428572,0.7,6.0,Actor/Actress,59,Connecticut,United States,Edyta Sliwinska,6
4,Leeza Gibbons,2,21.0,3,Eliminated Week 4,4,4,4,0,0.08571428571428572,0.7,6.0,TV Personality,50,South Carolina,United States,Tony Dovolani,9
4,Paulina Porizkova,2,21.0,3,Eliminated Week 2,2,2,2,1,0.08571428571428572,0.7,6.0,Model,41,,Czechoslovakia,Alec Mazo,11
4,Shandi Finnessey,2,20.0,3,Eliminated Week 3,3,3,3,0,0.08163265306122448,0.6666666666666666,10.0,Beauty Pagent,28,Missouri,United States,Brian Fortuna,10
4,Clyde Drexler,2,18.0,3,Eliminated Week 5,5,5,5,0,0.07346938775510205,0.6,11.0,Athlete,44,Louisiana,United States,Elena Grinenko,8
4,Heather Mills,3,24.0,3,Eliminated Week 6,6,6,6,0,0.11009174311926606,0.8,1.0,Model,39,,England,Jonathan Roberts,7
4,Ian Ziering,3,24.0,3,Eliminated Week 9,9,9,9,0,0.11009174311926606,0.8,1.0,Actor/Actress,42,New Jersey,United States,Cheryl Burke,4
