season,celebrity_name,celebrity_industry,industry_group,age,age_bucket,celebrity_homecountry_region,celebrity_homestate,is_us,ballroom_partner,avg_score_rate,avg_voting_rate,base_popularity,placement,season_size,placement_encoded,pro_strength,age_young,age_mid,age_senior,indgrp_Athletic,indgrp_Performance,indgrp_Media,indgrp_Other
8,Shawn Johnson,Athlete,Athletic,17,young,United States,Iowa,1,Mark Ballas,0.8818181818181817,0.2864810709721889,0.2750017538056221,1,13,1.0,0.8159248600498087,1,0,0,1,0,0,0
8,Steve Wozniak,Entrepreneur,Other,58,senior,United States,California,1,Karina Smirnoff,0.43333333333333335,0.04644353409599503,0.0400545102135107,10,13,0.3076923076923077,0.6247749615162423,0,0,1,0,0,0,1
8,Steve-O,TV Personality,Media,34,mid,England,,0,Lacey Schwimmer,0.5277777777777778,0.04948165974094112,0.040476738248457,8,13,0.46153846153846156,0.6024439452637469,0,1,0,0,0,1,0
8,Ty Murray,Athlete,Athletic,39,mid,United States,Arizona,1,Chelsie Hightower,0.7266666666666667,0.13176588710405637,0.120368313643929,4,13,0.7692307692307692,0.586374427822983,0,1,0,1,0,0,0
9,Aaron Carter,Singer/Rapper,Performance,21,young,United States,Florida,1,Karina Smirnoff,0.8604154166666667,0.06004628857813527,0.0457773467284529,5,16,0.75,0.6247749615162423,1,0,0,0,1,0,0
9,Ashley Hamiliton,Actor/Actress,Performance,34,mid,United States,California,1,Edyta Sliwinska,0.6333300000000001,0.0071936474426203,9.126917923655046e-05,16,16,0.0625,0.4724139819835949,0,1,0,0,1,0,0
9,Chuck Liddell,Athlete,Athletic,39,mid,United States,California,1,Anna Trebunskaya,0.625,0.016449952954006926,0.0062558953818062,11,16,0.375,0.5093750394883365,0,1,0,1,0,0,0
9,Debi Mazar,Actor/Actress,Performance,45,mid,United States,New York,1,Maksim Chmerkoskiy,0.6666666666666666,0.018036632326002902,0.0072429385785945,12,16,0.3125,0.7335803208570171,0,1,0,0,1,0,0
9,Donny Osmond,Singer/Rapper,Performance,51,mid,United States,Utah,1,Kym Johnson,0.8822206666666667,0.28861889030067767,0.2879330119839796,1,16,1.0,0.6535080209879351,0,1,0,0,1,0,0
9,Joanna Krupa,Model,Performance,30,mid,Poland,,0,Derek Hough,0.901851111111111,0.10166218466257648,0.0880328992823903,4,16,0.8125,1.0,0,1,0,0,1,0,0
9,Kathy Ireland,Model,Performance,46,mid,United States,California,1,Tony Dovolani,0.6333316666666666,0.007478130607824199,0.0011015313430017,14,16,0.1875,0.5490135348123275,0,1,0,0,1,0,0
9,Kelly Osbourne,TV Personality,Media,24,young,England,,0,Louis van Amstel,0.8157386666666667,0.19638802910451808,0.191425655453537,3,16,0.875,0.5684428409210787,1,0,0,0,0,1,0
9,Louie Vito,Athlete,Athletic,21,young,United States,Ohio,1,Chelsie Hightower,0.71111,0.04428021598649388,0.03479568158864,8,16,0.5625,0.586374427822983,1,0,0,1,0,0,0
9,Macy Gray,Singer/Rapper,Performance,42,mid,United States,Ohio,1,Jonathan Roberts,0.6333300000000001,0.007208316176495,9.126917923655046e-05,15,16,0.125,0.4561870399050518,0,1,0,0,1,0,0
9,Mark Dacascos,Actor/Actress,Performance,45,mid,United States,Hawaii,1,Lacey Schwimmer,0.8071419047619048,0.043282830873696714,0.0304073336930099,6,16,0.6875,0.6024439452637469,0,1,0,0,1,0,0
9,Melissa Joan Hart,Actor/Actress,Performance,33,mid,United States,New York,1,Mark Ballas,0.7611105555555556,0.0353321132048037,0.0232928006516686,9,16,0.5,0.8159248600498087,0,1,0,0,1,0,0
9,Michael Irvin,Athlete,Athletic,43,mid,United States,Florida,1,Anna Demidova,0.6452371428571428,0.06477151615897518,0.0577019570805673,7,16,0.625,0.5876903996672533,0,1,0,1,0,0,0
9,Mya,Singer/Rapper,Performance,29,young,United States,Washington D.C.,1,Dmitry Chaplin,0.9477766666666666,0.22314321645850135,0.2148709783453767,2,16,0.9375,0.620430885915805,1,0,0,0,1,0,0
9,Natalie Coughlin,Athlete,Athletic,27,young,United States,California,1,Alec Mazo,0.7999986666666666,0.01767660647763576,0.0033330992565656,10,16,0.4375,0.5001238357533935,1,0,0,1,0,0,0
9,Tom DeLay,Politician,Other,62,senior,United States,Texas,1,Cheryl Burke,0.5888877777777778,0.017154433460428036,0.007646332273936,13,16,0.25,0.7217516093455022,0,0,1,0,0,0,1
10,Aiden Turner,Actor/Actress,Performance,32,mid,England,,0,Edyta Sliwinska,0.5875,0.0242896029362582,0.0084329934301212,9,11,0.2727272727272727,0.4724139819835949,0,1,0,0,1,0,0
10,Buzz Aldrin,Astronaut,Athletic,80,senior,United States,New Jersey,1,Ashly DelGrosso,0.43333333333333335,0.04595827958760085,0.0382038679858097,10,11,0.18181818181818177,0.3282377251839976,0,0,1,1,0,0,0
10,Chad Ochocinco,Athlete,Athletic,32,mid,United States,Florida,1,Cheryl Burke,0.7388885185185186,0.12513994386857752,0.1111306551925949,4,11,0.7272727272727273,0.7217516093455022,0,1,0,1,0,0,0
10,Erin Andrews,Sports Broadcaster,Media,32,mid,United States,Maine,1,Maksim Chmerkoskiy,0.831666,0.19161520579165323,0.1763413363150479,3,11,0.8181818181818181,0.7335803208570171,0,1,0,0,0,1,0
10,Evan Lysacek,Athlete,Athletic,24,young,United States,Illinois,1,Anna Trebunskaya,0.8762956666666668,0.2422653620822911,0.2276103991743142,2,11,0.9090909090909091,0.5093750394883365,1,0,0,1,0,0,0
10,Jake Pavelka,TV Personality,Media,32,mid,United States,Texas,1,Chelsie Hightower,0.7111105555555555,0.036966142104139836,0.0193026293431706,7,11,0.4545454545454546,0.586374427822983,0,1,0,0,0,1,0
10,Kate Gosselin,TV Personality,Media,35,mid,United States,Pennsylvania,1,Tony Dovolani,0.5133333333333333,0.05071493706085413,0.039804768044761,8,11,0.36363636363636365,0.5490135348123275,0,1,0,0,0,1,0
10,Nicole Scherzinger,Singer/Rapper,Performance,31,mid,United States,Hawaii,1,Derek Hough,0.9359253333333333,0.29414389810883873,0.2784789395711403,1,11,1.0,1.0,0,1,0,0,1,0,0
10,Niecy Nash,Actor/Actress,Performance,40,mid,United States,California,1,Louis van Amstel,0.6999991666666666,0.08550403240900628,0.0713850723697158,5,11,0.6363636363636364,0.5684428409210787,0,1,0,0,1,0,0
10,Pamela Anderson,Model,Performance,42,mid,Canada,,0,Damian Whitewood,0.7809514285714286,0.0484482478844512,0.0292199507483458,6,11,0.5454545454545454,0.6847931539542993,0,1,0,0,1,0,0
10,Shannen Doherty,Actor/Actress,Performance,38,mid,United States,Tennessee,1,Mark Ballas,0.6333333333333333,0.0049667142884853,8.938782497838974e-05,11,11,0.09090909090909094,0.8159248600498087,0,1,0,0,1,0,0
11,Audrina Patridge,TV Personality,Media,25,young,United States,California,1,Tony Dovolani,0.8111099999999999,0.03447223718616512,0.0155435693433544,7,12,0.5,0.5490135348123275,1,0,0,0,0,1,0
11,Brandy,Singer/Rapper,Performance,31,mid,United States,Mississippi,1,Maksim Chmerkoskiy,0.8865737037037037,0.11390892154594108,0.0981388470335515,4,12,0.75,0.7335803208570171,0,1,0,0,1,0,0
11,Bristol Palin,TV Personality,Media,19,young,United States,Alaska,1,Mark Ballas,0.7368046666666667,0.2064150443655723,0.2056958156147076,3,12,0.8333333333333334,0.8159248600498087,1,0,0,0,0,1,0
11,David Hasselhoff,Actor/Actress,Performance,58,senior,United States,Maryland,1,Kym Johnson,0.5,0.003410000325674,9.281534626125732e-05,12,12,0.08333333333333337,0.6535080209879351,0,0,1,0,1,0,0
11,Florence Henderson,Actor/Actress,Performance,76,senior,United States,Indiana,1,Corky Ballas,0.6366666666666666,0.02975751036712518,0.0154790128706748,8,12,0.41666666666666663,0.45239751691823943,0,0,1,0,1,0,0
11,Jennifer Grey,Actor/Actress,Performance,50,mid,United States,New York,1,Derek Hough,0.8995833333333334,0.2785133630176707,0.2752490636192837,1,12,1.0,1.0,0,1,0,0,1,0,0
11,Kurt Warner,Athlete,Athletic,39,mid,United States,Iowa,1,Anna Trebunskaya,0.7343745833333334,0.09964610855442764,0.0897169076137256,5,12,0.6666666666666667,0.5093750394883365,0,1,0,1,0,0,0
11,Kyle Massey,Actor/Actress,Performance,19,young,United States,Georgia,1,Lacey Schwimmer,0.8248603333333333,0.23664909654012584,0.2339659768643468,2,12,0.9166666666666666,0.6024439452637469,1,0,0,0,1,0,0
11,Margaret Cho,Comedian,Performance,41,mid,United States,California,1,Louis van Amstel,0.5666666666666667,0.017954230457917632,0.0056047549927901,10,12,0.25,0.5684428409210787,0,1,0,0,1,0,0
11,Michael Bolton,Singer/Rapper,Performance,57,senior,United States,Connecticut,1,Chelsie Hightower,0.4666666666666667,0.0131372505955105,0.0020996636404249,11,12,0.16666666666666663,0.586374427822983,0,0,1,0,1,0,0
11,Rick Fox,Athlete,Athletic,41,mid,Canada,,0,Cheryl Burke,0.7922619047619047,0.05922653906267903,0.0432399270158831,6,12,0.5833333333333333,0.7217516093455022,0,1,0,1,0,0,0
11,The Situation,TV Personality,Media,28,young,United States,New York,1,Karina Smirnoff,0.5583333333333333,0.027030464283899124,0.0151736460449959,9,12,0.33333333333333337,0.6247749615162423,1,0,0,0,0,1,0
12,Chelsea Kane,Actor/Actress,Performance,22,young,United States,Arizona,1,Mark Ballas,0.8655553333333333,0.178866567802324,0.1662987346783147,3,11,0.8181818181818181,0.8159248600498087,1,0,0,0,1,0,0
12,Chris Jericho,Athlete,Athletic,40,mid,United States,New York,1,Cheryl Burke,0.7444444444444445,0.041796393922992184,0.0248978279378987,7,11,0.4545454545454546,0.7217516093455022,0,1,0,1,0,0,0
12,Hines Ward,Athlete,Athletic,35,mid,South Korea,,0,Kym Johnson,0.8647220000000001,0.2971021670986327,0.2948061057190785,1,11,1.0,0.6535080209879351,0,1,0,1,0,0,0
